"id","judul","penulis","gambar","isi","link","created_at","updated_at"
"1","Aussie blokes urged to act F.A.S.T. by learning the signs of stroke - Sunbury & Macedon Ranges | Star Weekly","Admin",NULL,"Aussie blokes urged to act F.A.S.T. by learning the signs of stroke&nbsp;&nbsp;Sunbury & Macedon Ranges | Star Weekly","https://news.google.com/rss/articles/CBMiuwFBVV95cUxNVDRMSHZKZ2VvXzdXQmZIVjVOdnZjWXN2TUR3d0d3VS1QaE1SRGs4M1NZLWdwWDB3akVJMklVVWVoY1E3bTFnSW9ibFZvaVY3dlRuTGZBNFlxN3k5WWloV2s3QjBsRE5KSUtvS2Z0MHl0bkp3RHVUem0yaGJSNjlUNXhaZVJWQnBWTnJDY1g0Y2kzYWI1MnByWTZHa2tNaDJJNUlfdGVWekItX1lmVk1zVjRGVlJKQnJFdXM4?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"2","Simple blood test detects cancer up to 3 years before symptoms appear - Earth.com","Admin",NULL,"Simple blood test detects cancer up to 3 years before symptoms appear&nbsp;&nbsp;Earth.comNew Blood Test Spots Cancer up to 3 Years Before Symptoms Emerge&nbsp;&nbsp;SciTechDailyJohns Hopkins blood test detects tumor dna three years early&nbsp;&nbsp;ScienceDailyEarly and accurate cancer detection now possible with $4 paper-based device&nbsp;&nbsp;AOL.comBlood Tests Can Detect Cancer Years Earlier&nbsp;&nbsp;U.S. News & World Report","https://news.google.com/rss/articles/CBMiiwFBVV95cUxOUHdaeHBNNmREVVdHMlFzZ2hpWDNtcmVXLXF6SDZBWlV5T28yNW1sR2JNdHJiZzB6ZHZQQlJNV0xZeGtNWTFEZUxpT3kwNjUtNWJoR1ljY01TTDVQb2QzM0xlcXRpbFBFNXBzWk9lUGlfSzhOMDJRT0sxQUwybGROUXJRd1NxQjQtaXhJ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"3","I'm an NHS leader - but mum still suffered at hands of health service because she was black","Admin","https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/b2e2/live/862999c0-47a3-11f0-afd7-a517b5f40405.jpg","NHS Confederation chair Lord Adebowale says his mother's death illustrates inequalities in the system.","https://www.bbc.com/news/articles/c3v5q2n4gpxo","2025-06-14 09:55:57","2025-06-14 09:55:57"
"4","Wales is UK worst for surgical abortions, says charity","Admin","https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/610c/live/6878bb30-45e7-11f0-a075-df12ca9c8444.jpg","Doctors call it ""astonishing"" Wales is behind Northern Ireland where abortion became legal in 2019.","https://www.bbc.com/news/articles/c9890ld7dmjo","2025-06-14 09:55:57","2025-06-14 09:55:57"
"5","BHK-21与IB-IS2细胞系对口蹄疫病毒O型和A型野毒株分离效能的比较研究及其疫苗生产意义 - 生物通","Admin",NULL,"BHK-21与IB-IS2细胞系对口蹄疫病毒O型和A型野毒株分离效能的比较研究及其疫苗生产意义&nbsp;&nbsp;生物通","https://news.google.com/rss/articles/CBMibEFVX3lxTE5reWZ3VmdVaXBWajZFNlFha2tzNjFWMXJtOVlLcWVEaVlraUREdzNpMjFILWxWb0VuMUZ1YW1MMVdIcGkwZ2RZRWtrVk1vOVhBWk9oSzZmU1V5eDcxdkt4WUthUWhGT2JOMkpGQw?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"6","Percée dans la lutte contre les métastases - Courrier Frontenac","Admin",NULL,"Percée dans la lutte contre les métastases&nbsp;&nbsp;Courrier Frontenac","https://news.google.com/rss/articles/CBMiogFBVV95cUxPeno4eUlvZ0xyU2FTQnBZd1BSWFZQdVB0NWhZN21QbktjU0FIeWJLTzFhQ1dwNG5JZmZzdFltQzkzbXlVbWtOWV9uNWtOU1ZpTkQ0UWFockdKcGwxQ0VIem9lQkNuSFVsdS1JNzdGdWN1YWZqS09jN29tUDFXb2NmTDBhNTVGNndVTDZpTmNjX05vN280ZjlENkg1NXFBdHN6bFE?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"7","COVID-19 vaccinations no longer recommended for healthy children and adolescents under 18 - Canberra Daily","Admin",NULL,"COVID-19 vaccinations no longer recommended for healthy children and adolescents under 18&nbsp;&nbsp;Canberra DailyWho actually needs a COVID jab?&nbsp;&nbsp;Australian Broadcasting Corporation","https://news.google.com/rss/articles/CBMixwFBVV95cUxNZkNkV0g5NXNVM2k3eTMxRFpjYkNTSkhBR0c0eldLZ1FfblRpdFYta1BwYzRTdlczZm1KYzBBMW44SlZxb2lXWDRlSEdIX0tXaEs1Tk96ZU5oNGVzZUJJcHJMRlI1OVRPczAzVm1WcGs3VWVhc2gyT1lxX2NleEJhSEdSdktrbFV5Q2RjS3lXTVdONFpUeEZiN25XRDZEMWpGRndseDl1UU0xY2wxWUV4RktKOHZnUXRMeDZwTGJVcDdxVWVrbDVz?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"8","Long-lived people have the same crucial blood biomarkers, pointing scientists towards new anti-aging treatments - Earth.com","Admin",NULL,"Long-lived people have the same crucial blood biomarkers, pointing scientists towards new anti-aging treatments&nbsp;&nbsp;Earth.comKey habit shared by 90% of 'remarkably healthy' centenarians uncovered in town known for longevity&nbsp;&nbsp;GB NewsUnlocking the Secrets of Longevity: How Centenarians Defy Aging&nbsp;&nbsp;SciTechDailyHabits of Centenarians We Could All Adopt&nbsp;&nbsp;MSNThe Secret to Living Past 100? Scientists Say It Could Be Hidden in This Small Italian Village&nbsp;&nbsp;SciTechDaily","https://news.google.com/rss/articles/CBMivwFBVV95cUxOT19qNDRjX2hwLXk3bnBPWjdGUWppZG1HQkxXNkh4ZFNRTTZFdEJ5ZFNXSkZyTjBFaDNUb3dFVDFnYlpoaTJBb1B6ellNMWtnSW9LNWxHMk1HQk1YM2JPNHdPS2Z5Q2ZpX2xZelJRSGZoVmtuRmNwb0JocVpqeHZTZFlweGVwNWIyM0NDckZCaWRXXzBhRnQ0dTJzZlVkRVgzdHoyYUQtenFTd1NwT0NPdFRVdlZHS0Jrb1JLVU1nQQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"9","Why is my hay fever so bad this year?","Admin","https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/553f/live/db82b5a0-4852-11f0-8ee0-4f68d841efd9.jpg","It's peak pollen season so we set out the best ways to treat hay fever symptoms, and other advice.","https://www.bbc.com/news/articles/cx2jevn2d1eo","2025-06-14 09:55:57","2025-06-14 09:55:57"
"10","Researchers Create Map of Tumor Cells for Personalized Brain Cancer Treatments - Technology Networks","Admin",NULL,"Researchers Create Map of Tumor Cells for Personalized Brain Cancer Treatments&nbsp;&nbsp;Technology Networks","https://news.google.com/rss/articles/CBMixwFBVV95cUxOS0wwNE5XSElBYUUzdHprSWN6R0d1YkdHTkxaSzZPNlZUbkdWYXdSUVdwUHpZYkZjSVhlNHZLSHlRcndRR0dLQmlvMEJjakctZGFrUUZtZUpMRTVKWHlrX1BSUUZNUl8yN0F1a1VDM01yODBNSXVpMno4VGVBYU9EWjhldl83dUg0c0MxTnZuWFFmZE9IbVZtREFHYVVlaTBpSkNkTzVxSmtXdmNQVHNXNGZrYVNZVjFQSDZoVmo3amRkZVpJMXpV?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
