Disease,Description
Reaksi Obat,"Reaksi merugikan akibat penggunaan obat, bisa terjadi setelah satu dosis atau penggunaan jangka panjang."
Malaria,Penyakit menular akibat parasit Plasmodium yang ditularkan oleh nyamuk Anopheles.
Alergi,"Respons sistem imun terhadap zat asing seperti makanan, serbuk sari, atau bulu hewan."
Hipotiroidisme,Kondisi saat kelenjar tiroid tidak memproduksi hormon tiroid dalam jumlah cukup.
Psoriasis,Gangguan kulit kronis yang menyebabkan bercak merah bersisik di kulit.
GERD,Penyakit refluks gastroesofagus yang menyebabkan naiknya asam lambung.
Kolestasis Kronis,Gangguan kronis transportasi asam empedu dari hati ke usus.
Hepatitis A,Infeksi hati yang sangat menular akibat virus hepatitis A.
Osteoartritis,Bentuk artritis paling umum akibat ausnya tulang rawan sendi.
Vertigo Posisi,Penyebab umum vertigo karena gangguan pada telinga bagian dalam.
Hipoglikemia,Kondisi kadar gula darah yang lebih rendah dari normal.
Jerawat,Peradangan folikel rambut yang menyebabkan jerawat pada wajah dan tubuh.
Diabetes,Kadar gula darah tinggi karena gangguan insulin.
Impetigo,Infeksi kulit menular yang umumnya menyerang anak-anak.
Hipertensi,Tekanan darah tinggi yang terjadi dalam jangka panjang.
Penyakit Tukak Lambung,"Luka di dinding lambung, usus halus, atau esofagus."
Ambeien,Pembengkakan pembuluh darah di area anus dan rektum.
Flu Biasa,Infeksi virus pada hidung dan tenggorokan.
Cacar Air,"Penyakit menular akibat virus varicella-zoster, menimbulkan ruam berisi cairan."
Spondilosis Serviks,Kondisi degeneratif pada tulang belakang leher akibat usia.
Hipertiroidisme,Kelenjar tiroid terlalu aktif menghasilkan hormon berlebih.
Infeksi Saluran Kemih,"Infeksi pada ginjal, ureter, kandung kemih, atau uretra."
Varises,"Pembuluh darah yang membesar dan terpelintir, biasanya di kaki."
AIDS,Kondisi kronis akibat infeksi HIV yang melemahkan sistem imun.
Kelumpuhan (Perdarahan Otak),Perdarahan mendadak di otak yang menyebabkan kelumpuhan.
Tifoid,Penyakit akut akibat infeksi bakteri Salmonella typhi.
Hepatitis B,Infeksi hati akibat virus hepatitis B.
Infeksi Jamur,Infeksi jamur yang menyerang tubuh manusia.
Hepatitis C,Peradangan hati akibat virus hepatitis C.
Migrain,"Sakit kepala berdenyut hebat, biasanya di satu sisi kepala."
Asma Bronkial,"Penyempitan saluran udara akibat inflamasi, menyebabkan sesak napas."
Hepatitis Alkoholik,Peradangan hati akibat konsumsi alkohol berlebihan.
Penyakit Kuning,Kulit dan mata menguning akibat tingginya bilirubin dalam darah.
Hepatitis E,Peradangan hati akibat virus hepatitis E.
Demam Berdarah,Penyakit infeksi akut akibat virus Dengue.
Hepatitis D,Peradangan hati akibat virus hepatitis D.
Serangan Jantung,Kematian otot jantung akibat penyumbatan arteri koroner.
Pneumonia,Infeksi paru-paru yang menyebabkan peradangan dan cairan di alveoli.
Artritis,"Pembengkakan dan nyeri sendi, sering memburuk seiring bertambah usia."
Gastroenteritis,Peradangan saluran pencernaan yang menyebabkan diare dan muntah.
Tuberkulosis,Penyakit menular akibat bakteri Mycobacterium tuberculosis.
