Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Reaksi Obat Merugikan,hentikan iritasi,konsultasi ke rumah sakit terdekat,hentikan konsumsi obat,tindak lanjut
Malaria,konsultasi ke rumah sakit terdekat,hindari makanan berminyak,hindari makanan non-vegetarian,jauhkan nyamuk
Alergi,oelskan kalamin,tutup area dengan perban,gunakan es untuk mengompres gatal,
Hipotiroidisme,kurangi stres,olahraga,makan makanan sehat,tidur cukup
Psoriasis,cuci tangan dengan air hangat dan sabun,hentikan pendarahan dengan tekanan,konsultasi dokter,mandi garam
GERD,hindari makanan berlemak dan pedas,hindari berbaring setelah makan,jaga berat badan sehat,olahraga
Kolestasis Kronis,mandi air dingin,obat antigatal,konsultasi dokter,makan sehat
Hepatitis A,konsultasi ke rumah sakit terdekat,cuci tangan hingga bersih,hindari makanan berlemak dan pedas,obat
Osteoartritis,acetaminophen,konsultasi ke rumah sakit terdekat,tindak lanjut,mandi garam
Vertigo Posisi Paroksismal,berbaring,hindari perubahan posisi tubuh mendadak,hindari gerakan kepala tiba-tiba,relaksasi
Hipoglikemia,berbaring miring,periksa denyut nadi,minum minuman manis,konsultasi dokter
Jerawat,mandi dua kali,hindari makanan berlemak dan pedas,minum banyak air,hindari terlalu banyak produk
Diabetes,makan seimbang,olahraga,konsultasi dokter,tindak lanjut
Impetigo,rendam area yang terkena di air hangat,gunakan antibiotik,hapus kerak dengan kain basah,konsultasi dokter
Hipertensi,meditasi,mandi garam,kurangi stres,tidur cukup
Tukak Lambung,hindari makanan berlemak dan pedas,onsumsi makanan probiotik,hindari susu,batasi alkohol
Wasir Dimorfik,hindari makanan berlemak dan pedas,onsumsi witch hazel,mandi air hangat dengan garam epsom,minum jus lidah buaya
Flu Umum,minum minuman tinggi vitamin C,uap inhalasi,hindari makanan dingin,kontrol demam
Cacar Air,gunakan daun neem saat mandi,konsumsi daun neem,vaksinasi,hindari tempat umum
Spondilosis Servikal,gunakan bantalan panas/dingin,olahraga,minum obat bebas nyeri,konsultasi dokter
Hipertiroidisme,makan sehat,pijat,gunakan lemon balm,terapi iodin radioaktif
Infeksi Saluran Kemih,minum banyak air,tingkatkan asupan vitamin C,minum jus cranberry,konsumsi probiotik
Varises,berbaring dan angkat kaki tinggi,gunakan salep,gunakan perban kompresi vena,jangan berdiri lama
AIDS,hindari luka terbuka,gunakan alat pelindung jika bisa,konsultasi dokter,tindak lanjut
Paralisis (Perdarahan Otak),pijat,makan sehat,olahraga,konsultasi dokter
Tifus,konsumsi sayur tinggi kalori,terapi antibiotik,konsultasi dokter,obat
Hepatitis B,konsultasi ke rumah sakit terdekat,vaksinasi,makan sehat,obat
Infeksi Jamur,mandi dua kali,gunakan detol atau neem pada air mandi,jaga area tetap kering,gunakan pakaian bersih
Hepatitis C,konsultasi ke rumah sakit terdekat,vaksinasi,makan sehat,obat
Migrain,meditasi,kurangi stres,gunakan kacamata polaroid saat panas,konsultasi dokter
Asma Bronkial,gunakan pakaian longgar,ambil napas dalam,jauhi pemicu,cari bantuan
Hepatitis Alkoholik,berhenti minum alkohol,konsultasi dokter,obat,tindak lanjut
Penyakit Kuning,minum banyak air,konsumsi milk thistle,makan buah dan makanan tinggi serat,obat
Hepatitis E,berhenti minum alkohol,istirahat,konsultasi dokter,obat
Demam Berdarah,minum jus daun pepaya,hindari makanan berlemak dan pedas,jauhkan nyamuk,jaga hidrasi
Hepatitis D,konsultasi dokter,obat,makan sehat,tindak lanjut
Serangan Jantung,panggil ambulans,kunyah/telan aspirin,tenangkan diri,
Pneumonia,konsultasi dokter,obat,istirahat,tindak lanjut
Artritis,olahraga,terapi panas dan dingin,coba akupuntur,pijat
Gastroenteritis,hindari makanan padat sementara,minum air sedikit demi sedikit,istirahat,kembalikan pola makan perlahan
Tuberkulosis,tutup mulut,konsultasi dokter,obat,istirahat
